code_module,code_presentation,id_student,gender,region,highest_education,num_of_prev_attempts,studied_credits,disability,final_result,imd_band_numeric,age_0-35,age_35-55,age_55<=,weighted_grade,pass_rate,exam_taken,exam_score_filled,date,sum_click,withdrawn
AAA,2013J,11391,M,East Anglian Region,HE Qualification,0,240,N,Pass,95.0,False,False,True,7.8,1.0,0.0,0.0,111.73906926406926,4.2315151515151515,0
AAA,2013J,28400,F,Scotland,HE Qualification,0,60,N,Pass,25.0,False,True,False,14.0,1.0,0.0,0.0,92.53235561418332,3.5413789079851856,0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,0,60,Y,Withdrawn,35.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,31604,F,South East Region,A Level or Equivalent,0,60,N,Pass,55.0,False,True,False,14.4,1.0,0.0,0.0,99.67812408740913,3.65897897683382,0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,0,60,N,Pass,55.0,True,False,False,13.8,0.6,0.0,0.0,99.22022484171295,2.8211161113355474,0
AAA,2013J,38053,M,Wales,A Level or Equivalent,0,60,N,Pass,85.0,False,True,False,23.7,1.0,0.0,0.0,127.90244579429327,3.4901855805574744,0
AAA,2013J,45462,M,Scotland,HE Qualification,0,60,N,Pass,35.0,True,False,False,70.0,1.0,0.0,0.0,104.7805115791079,4.737710746658902,0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,0,120,N,Pass,95.0,True,False,False,7.2,1.0,0.0,0.0,119.86730850473474,2.7814191319400616,0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,0,90,N,Pass,75.0,True,False,False,14.4,1.0,0.0,0.0,120.15541803900372,3.5148574929680128,0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,0,60,N,Pass,47.115494568324756,False,False,True,14.2,1.0,0.0,0.0,83.3492926518121,4.806770716910295,0
AAA,2013J,57506,M,South Region,Lower Than A Level,0,60,N,Pass,75.0,False,True,False,13.6,1.0,0.0,0.0,124.11361536854957,3.4979552245999614,0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,0,60,N,Pass,25.0,True,False,False,21.9,1.0,0.0,0.0,115.21899088924245,3.995821615704639,0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,0,60,N,Pass,65.0,False,True,False,67.0,1.0,0.0,0.0,107.30005824428439,3.4345639519325633,0
AAA,2013J,62155,F,North Western Region,HE Qualification,0,60,N,Pass,55.0,True,False,False,0.73,1.0,0.0,0.0,117.87168665873928,3.136577240330778,0
AAA,2013J,63400,M,Scotland,Lower Than A Level,0,60,N,Pass,45.0,False,True,False,0.83,1.0,0.0,0.0,104.03677053766248,5.243715306264627,0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,0,60,N,Withdrawn,75.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,0,60,N,Pass,65.0,False,True,False,0.59,0.8,0.0,0.0,69.30451687335746,4.7063776132616715,0
AAA,2013J,71361,M,Ireland,HE Qualification,0,60,N,Pass,47.115494568324756,False,True,False,0.82,1.0,0.0,0.0,111.44822386341481,3.320385909448396,0
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,0,150,N,Fail,15.0,False,True,False,3.0,0.6,0.0,0.0,87.00372670807454,1.4968944099378882,0
AAA,2013J,75091,M,South West Region,A Level or Equivalent,0,60,N,Pass,35.0,False,True,False,12.06,1.0,0.0,0.0,104.36441317355624,4.253509164558844,0
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,0,60,N,Pass,35.0,True,False,False,13.14,1.0,0.0,0.0,91.46193224999655,2.1827713895771352,0
AAA,2013J,91265,M,North Western Region,HE Qualification,0,60,N,Pass,5.0,True,False,False,13.5,1.0,0.0,0.0,108.85552122811401,3.5726619183220456,0
AAA,2013J,94961,M,South Region,Lower Than A Level,0,60,N,Withdrawn,75.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,98094,M,Wales,Lower Than A Level,0,60,N,Pass,75.0,False,True,False,11.16,1.0,0.0,0.0,75.852297946254,6.340276024341958,0
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,0,60,N,Pass,25.0,True,False,False,63.0,1.0,0.0,0.0,101.36430387509861,2.863959387504444,0
AAA,2013J,101781,M,South Region,Lower Than A Level,0,60,N,Pass,85.0,False,True,False,0.84,1.0,0.0,0.0,102.21898827952162,5.108010452680548,0
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,0,60,N,Pass,35.0,True,False,False,0.8,1.0,0.0,0.0,109.28331144625815,2.4047649804506417,0
AAA,2013J,102952,M,London Region,HE Qualification,0,60,N,Pass,65.0,True,False,False,0.76,1.0,0.0,0.0,113.63967302504349,4.370107789418529,0
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,0,60,N,Pass,47.115494568324756,False,True,False,0.85,1.0,0.0,0.0,118.06468954123523,4.723550348181758,0
AAA,2013J,106247,M,South Region,HE Qualification,0,60,N,Withdrawn,85.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,0,60,N,Pass,25.0,True,False,False,2.85,0.8,0.0,0.0,97.7226596936647,3.2035478773069515,0
AAA,2013J,110175,M,East Anglian Region,HE Qualification,0,60,N,Pass,85.0,False,True,False,11.88,1.0,0.0,0.0,92.64839781358464,3.440977867427806,0
AAA,2013J,111717,F,East Anglian Region,HE Qualification,0,60,N,Pass,95.0,False,True,False,14.4,0.6,0.0,0.0,94.52579370644928,4.343740661505664,0
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,0,60,N,Pass,65.0,False,True,False,14.58,1.0,0.0,0.0,112.87321742651622,3.5102546242389296,0
AAA,2013J,114017,F,North Region,Post Graduate Qualification,0,60,N,Pass,47.115494568324756,False,True,False,11.88,1.0,0.0,0.0,80.80486143486144,3.5874307174307174,0
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,0,60,N,Pass,65.0,False,True,False,13.32,1.0,0.0,0.0,126.63084518840333,2.642801890185611,0
AAA,2013J,116541,M,Wales,HE Qualification,0,60,N,Pass,5.0,True,False,False,76.0,1.0,0.0,0.0,111.18472328609728,3.620244080244535,0
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,0,60,N,Pass,75.0,False,True,False,0.72,1.0,0.0,0.0,71.73653858418368,4.259739583333333,0
AAA,2013J,118983,M,East Midlands Region,HE Qualification,0,120,N,Pass,35.0,True,False,False,0.73,1.0,0.0,0.0,107.56807081807081,2.4595238095238092,0
AAA,2013J,123044,M,South Region,A Level or Equivalent,0,60,N,Pass,45.0,False,True,False,0.75,1.0,0.0,0.0,103.4355609302131,3.904002593219984,0
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,0,180,N,Pass,45.0,True,False,False,0.69,1.0,0.0,0.0,96.26668273130107,3.6697798443627385,0
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,0,60,N,Withdrawn,55.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,0,120,N,Pass,85.0,False,True,False,3.15,1.0,0.0,0.0,127.30988475177305,3.700576241134752,0
AAA,2013J,134143,F,South East Region,A Level or Equivalent,0,60,N,Distinction,95.0,False,True,False,15.66,1.0,0.0,0.0,117.95549822167541,4.96764325696751,0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,0,180,N,Withdrawn,25.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,135400,F,South East Region,Lower Than A Level,0,60,Y,Withdrawn,95.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,137873,M,South West Region,A Level or Equivalent,0,60,N,Pass,45.0,False,True,False,12.96,1.0,0.0,0.0,106.66958725494754,6.9213234931604,0
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,0,240,N,Pass,35.0,True,False,False,13.86,1.0,0.0,0.0,108.96647070911777,2.8157227774874833,0
AAA,2013J,141377,M,South West Region,A Level or Equivalent,0,345,N,Withdrawn,95.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1
AAA,2013J,142326,F,North Region,A Level or Equivalent,0,60,N,Pass,55.0,False,True,False,65.0,1.0,0.0,0.0,124.93901122396545,3.1272960589771635,0
AAA,2013J,144801,F,South Region,HE Qualification,0,60,N,Pass,85.0,False,True,False,0.0,1.0,0.0,0.0,105.26248513864186,2.981058926142541,0
AAA,2013J,145130,M,South West Region,HE Qualification,0,120,N,Pass,65.0,True,False,False,7.5,0.8,0.0,0.0,98.46497264309765,3.066750841750842,0
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,0,60,Y,Fail,25.0,True,False,False,10.4,1.0,0.0,0.0,100.5880230407315,2.6076099105466115,0
AAA,2013J,147756,M,North Region,Lower Than A Level,0,120,N,Fail,65.0,True,False,False,26.95,0.8,0.0,0.0,74.14059442270059,2.9940609371602522,0
