,code_module,code_presentation,id_student,gender,region,highest_education,num_of_prev_attempts,studied_credits,disability,final_result,imd_band_numeric,age_0-35,age_35-55,age_55<=,weighted_grade,pass_rate,exam_taken,exam_score_filled,date,sum_click
0,AAA,2013J,11391,M,East Anglian Region,HE Qualification,0,240,N,Pass,95.0,False,False,True,7.8,1.0,0.0,0.0,111.73906926406926,4.2315151515151515
1,AAA,2013J,28400,F,Scotland,HE Qualification,0,60,N,Pass,25.0,False,True,False,14.0,1.0,0.0,0.0,92.53235561418332,3.5413789079851856
2,AAA,2013J,30268,F,North Western Region,A Level or Equivalent,0,60,Y,Withdrawn,35.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0
3,AAA,2013J,31604,F,South East Region,A Level or Equivalent,0,60,N,Pass,55.0,False,True,False,14.4,1.0,0.0,0.0,99.67812408740912,3.65897897683382
4,AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,0,60,N,Pass,55.0,True,False,False,13.8,0.6,0.0,0.0,99.22022484171296,2.8211161113355474
5,AAA,2013J,38053,M,Wales,A Level or Equivalent,0,60,N,Pass,85.0,False,True,False,23.7,1.0,0.0,0.0,127.90244579429329,3.4901855805574744
6,AAA,2013J,45462,M,Scotland,HE Qualification,0,60,N,Pass,35.0,True,False,False,70.0,1.0,0.0,0.0,104.7805115791079,4.737710746658902
7,AAA,2013J,45642,F,North Western Region,A Level or Equivalent,0,120,N,Pass,95.0,True,False,False,7.2,1.0,0.0,0.0,119.86730850473474,2.7814191319400616
8,AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,0,90,N,Pass,75.0,True,False,False,14.4,1.0,0.0,0.0,120.15541803900372,3.5148574929680128
9,AAA,2013J,53025,M,North Region,Post Graduate Qualification,0,60,N,Pass,47.11549456832475,False,False,True,14.2,1.0,0.0,0.0,83.3492926518121,4.806770716910295
10,AAA,2013J,57506,M,South Region,Lower Than A Level,0,60,N,Pass,75.0,False,True,False,13.6,1.0,0.0,0.0,124.11361536854956,3.4979552245999614
11,AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,0,60,N,Pass,25.0,True,False,False,21.9,1.0,0.0,0.0,115.21899088924243,3.995821615704639
12,AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,0,60,N,Pass,65.0,False,True,False,67.0,1.0,0.0,0.0,107.3000582442844,3.4345639519325633
13,AAA,2013J,62155,F,North Western Region,HE Qualification,0,60,N,Pass,55.0,True,False,False,0.73,1.0,0.0,0.0,117.87168665873928,3.136577240330778
14,AAA,2013J,63400,M,Scotland,Lower Than A Level,0,60,N,Pass,45.0,False,True,False,0.83,1.0,0.0,0.0,104.03677053766248,5.243715306264627
15,AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,0,60,N,Withdrawn,75.0,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0
16,AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,0,60,N,Pass,65.0,False,True,False,0.59,0.8,0.0,0.0,69.30451687335746,4.7063776132616715
17,AAA,2013J,71361,M,Ireland,HE Qualification,0,60,N,Pass,47.11549456832475,False,True,False,0.82,1.0,0.0,0.0,111.4482238634148,3.320385909448396
18,AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,0,150,N,Fail,15.0,False,True,False,3.0,0.6,0.0,0.0,87.00372670807454,1.4968944099378882
19,AAA,2013J,75091,M,South West Region,A Level or Equivalent,0,60,N,Pass,35.0,False,True,False,12.06,1.0,0.0,0.0,104.36441317355624,4.253509164558844
20,AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,0,60,N,Pass,35.0,True,False,False,13.14,1.0,0.0,0.0,91.46193224999656,2.1827713895771352
21,AAA,2013J,91265,M,North Western Region,HE Qualification,0,60,N,Pass,5.0,True,False,False,13.5,1.0,0.0,0.0,108.855521228114,3.5726619183220456
22,AAA,2013J,94961,M,South Region,Lower Than A Level,0,60,N,Withdrawn,75.0,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0
23,AAA,2013J,98094,M,Wales,Lower Than A Level,0,60,N,Pass,75.0,False,True,False,11.16,1.0,0.0,0.0,75.852297946254,6.340276024341958
24,AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,0,60,N,Pass,25.0,True,False,False,63.0,1.0,0.0,0.0,101.3643038750986,2.863959387504444
25,AAA,2013J,101781,M,South Region,Lower Than A Level,0,60,N,Pass,85.0,False,True,False,0.84,1.0,0.0,0.0,102.21898827952162,5.108010452680548
26,AAA,2013J,102806,M,North Western Region,A Level or Equivalent,0,60,N,Pass,35.0,True,False,False,0.8,1.0,0.0,0.0,109.28331144625815,2.4047649804506417
27,AAA,2013J,102952,M,London Region,HE Qualification,0,60,N,Pass,65.0,True,False,False,0.76,1.0,0.0,0.0,113.63967302504348,4.370107789418529
