code_module;code_presentation;id_student;gender;region;highest_education;num_of_prev_attempts;studied_credits;disability;imd_band_numeric;age_0-35;age_35-55;age_55<=;weighted_grade;pass_rate;exam_taken;exam_score_filled;date;sum_click;withdrawn
GGG;2014B;626317;F;South West Region;Lower Than A Level;0;30;Y;45.0;False;True;False;0.0;0.3333333333333333;0.0;0.0;68.55700229312284;2.4163881110400633;0
BBB;2013J;105527;F;Scotland;HE Qualification;0;120;N;45.0;False;True;False;0.0;1.0;0.0;0.0;135.83946908238687;1.6081780370341756;0
FFF;2014J;648190;M;North Region;Lower Than A Level;0;120;N;15.0;True;False;False;0.0;0.08333333333333333;0.0;0.0;-2.0496031746031744;1.7921957671957673;0
FFF;2014J;590381;M;East Anglian Region;Lower Than A Level;0;120;N;25.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
DDD;2014B;626979;M;East Anglian Region;Lower Than A Level;0;60;N;95.0;True;False;False;0.0;0.6666666666666666;1.0;47.0;126.18753135114653;2.2632874992581637;0
BBB;2013J;593694;F;Ireland;Lower Than A Level;0;60;N;55.0;False;True;False;0.0;1.0;0.0;0.0;128.14705934404068;1.78876247762741;0
FFF;2014J;696662;F;South West Region;A Level or Equivalent;0;120;N;65.0;True;False;False;0.0;1.0;0.0;0.0;113.91400524705107;2.924620162398122;0
DDD;2013B;533731;M;South West Region;Lower Than A Level;0;60;N;25.0;True;False;False;0.0;0.6377753701697364;0.5652582159624413;31.854460093896712;янв.75;1.4583333333333333;0
BBB;2013J;531384;F;Scotland;Lower Than A Level;0;60;N;55.0;True;False;False;0.0;0.9090909090909091;0.0;0.0;133.0141305122761;1.8578073469374794;0
BBB;2013J;535269;F;London Region;A Level or Equivalent;1;60;N;25.0;True;False;False;0.0;0.2727272727272727;0.0;0.0;1.3131313131313131;1.6464646464646464;0
DDD;2014J;303341;F;North Western Region;Lower Than A Level;0;120;N;5.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2013B;497897;F;West Midlands Region;No Formal quals;1;120;N;15.0;True;False;False;0.0;0.5;0.0;0.0;66.83702273421024;5.030433386058386;0
FFF;2013J;606496;M;Scotland;Post Graduate Qualification;0;90;N;75.0;False;True;False;0.0;0.08333333333333333;0.0;0.0;5.56937587535014;3.972852474323062;0
DDD;2014J;586946;F;West Midlands Region;A Level or Equivalent;1;60;N;85.0;True;False;False;0.0;1.0;1.0;69.0;162.6058793139434;1.6319038862474455;0
CCC;2014J;152626;M;North Western Region;Lower Than A Level;0;120;N;5.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014B;620092;F;East Midlands Region;A Level or Equivalent;0;60;N;85.0;True;False;False;0.0;1.0;0.0;0.0;92.14470102001351;1.990126395063895;0
DDD;2013J;562287;F;North Western Region;A Level or Equivalent;0;60;Y;5.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
DDD;2014B;1033968;F;Wales;No Formal quals;1;60;N;5.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
GGG;2014J;642949;M;London Region;Lower Than A Level;0;30;N;35.0;True;False;False;0.0;1.0;0.0;0.0;104.7015873015873;3.1402777777777775;0
FFF;2014B;131538;M;West Midlands Region;A Level or Equivalent;0;60;N;75.0;True;False;False;0.0;1.0;0.0;0.0;83.35524118738404;3.3878949594466836;0
EEE;2014J;691078;M;Wales;Lower Than A Level;0;30;N;75.0;False;True;False;0.0;1.0;0.0;0.0;78.67602303523036;4.042427409988386;0
DDD;2014J;678605;M;South Region;Lower Than A Level;0;150;N;45.0;False;True;False;0.0;1.0;1.0;47.0;92.31425126616303;1.754304176215941;0
FFF;2013B;533458;M;North Western Region;A Level or Equivalent;0;120;N;5.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2013J;243851;F;East Midlands Region;A Level or Equivalent;0;60;Y;5.0;True;False;False;0.0;1.0;0.0;0.0;106.05792895613855;1.8892392354557934;0
FFF;2013J;558284;M;Ireland;Lower Than A Level;0;150;Y;65.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2014J;345271;M;North Region;A Level or Equivalent;1;60;N;35.0;False;True;False;0.0;1.0;0.0;0.0;74.21991506333224;4.4892006179730295;0
FFF;2013J;574283;M;South Region;A Level or Equivalent;0;120;N;25.0;False;True;False;0.0;1.0;0.0;0.0;72.9729912344486;3.976566430108671;0
CCC;2014B;281261;M;Ireland;HE Qualification;0;30;N;85.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2013J;521255;M;London Region;Lower Than A Level;0;120;N;75.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2013B;2301111;F;Scotland;HE Qualification;1;60;N;15.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
EEE;2014B;623562;M;West Midlands Region;A Level or Equivalent;0;60;Y;75.0;True;False;False;0.0;1.0;0.0;0.0;75.05638422980527;3.4177297410192145;0
DDD;2014J;2570274;M;North Western Region;A Level or Equivalent;0;60;N;65.0;False;True;False;0.0;1.0;1.0;78.0;101.34908084322461;1.7009375825352124;0
DDD;2013B;532491;M;West Midlands Region;A Level or Equivalent;0;60;N;47.11;True;False;False;0.0;1.0;1.0;49.0;67.34770121746395;1.502552100034739;0
FFF;2013B;485544;M;West Midlands Region;HE Qualification;0;150;N;5.0;True;False;False;0.0;0.9166666666666666;0.0;0.0;110.81051564733545;4.1619896590012555;0
CCC;2014B;620376;M;South Region;Lower Than A Level;0;60;N;45.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
GGG;2014B;508924;F;East Anglian Region;HE Qualification;0;30;N;85.0;False;True;False;0.0;1.0;0.0;0.0;123.58632782312029;1.7181061077287492;0
FFF;2013J;587594;M;Scotland;A Level or Equivalent;0;60;N;75.0;True;False;False;0.0;1.0;0.0;0.0;102.72341480209772;3.8799963342662003;0
BBB;2014J;579201;F;Yorkshire Region;A Level or Equivalent;0;60;N;15.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014B;468529;F;South Region;Lower Than A Level;0;120;N;75.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2013B;360489;F;West Midlands Region;A Level or Equivalent;0;240;Y;5.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
EEE;2014B;511199;M;South Region;A Level or Equivalent;0;30;N;45.0;False;True;False;0.0;1.0;0.0;0.0;71.61318343532581;4.206350451019568;0
DDD;2013B;552030;F;South West Region;Lower Than A Level;0;60;N;85.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2013J;507387;F;East Anglian Region;A Level or Equivalent;0;60;N;55.0;True;False;False;0.0;0.2727272727272727;0.0;0.0;35.972486772486775;1.391358024691358;0
FFF;2013J;561068;M;South East Region;Lower Than A Level;0;60;N;55.0;True;False;False;0.0;0.4166666666666667;0.0;0.0;71.72374433078657;2.08853478290098;0
BBB;2013B;482710;M;West Midlands Region;A Level or Equivalent;0;60;N;75.0;False;True;False;0.0;0.9090909090909091;0.0;0.0;96.39567173023055;2.913619550384256;0
FFF;2014J;615328;F;Wales;A Level or Equivalent;0;60;N;15.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014B;559090;F;South East Region;No Formal quals;0;60;N;65.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2013B;536452;F;Wales;A Level or Equivalent;0;60;N;95.0;True;False;False;0.0;1.0;0.0;0.0;126.68638888888889;1.263779761904762;0
CCC;2014J;615242;M;East Anglian Region;Lower Than A Level;0;30;N;5.0;True;False;False;0.0;0.0;0.0;0.0;-5.866253471516629;1.7352164194269457;0
BBB;2013B;557938;F;London Region;No Formal quals;0;60;N;25.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2013B;483743;M;South West Region;Lower Than A Level;1;150;N;75.0;True;False;False;0.0;0.7267809384877219;0.0;0.0;2.8205128205128207;1.6923076923076923;0
CCC;2014J;688776;M;East Midlands Region;A Level or Equivalent;0;120;Y;85.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
CCC;2014J;1744800;M;Scotland;HE Qualification;1;150;N;15.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014J;696799;F;London Region;HE Qualification;0;60;N;25.0;True;False;False;0.0;0.2;0.0;0.0;52.42857142857143;1.4285714285714286;0
DDD;2014J;572722;F;South Region;A Level or Equivalent;0;60;N;25.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014B;632847;F;East Anglian Region;Lower Than A Level;0;60;N;45.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2013J;518544;M;South Region;Lower Than A Level;1;120;N;85.0;True;False;False;0.0;1.0;0.0;0.0;139.23869382571803;3.598693255277948;0
FFF;2013J;607794;M;South Region;A Level or Equivalent;0;150;N;95.0;False;True;False;0.0;1.0;0.0;0.0;99.02638748770032;3.1921819221252385;0
BBB;2013J;612757;M;North Region;HE Qualification;0;120;N;85.0;False;True;False;0.0;0.9090909090909091;0.0;0.0;108.19760692258733;1.7013776639374307;0
EEE;2013J;66713;M;South Region;A Level or Equivalent;0;60;N;95.0;True;False;False;0.0;1.0;0.0;0.0;81.03921156623703;4.8226885913174184;0
CCC;2014B;537606;F;London Region;A Level or Equivalent;0;60;N;65.0;True;False;False;0.0;0.25;0.0;0.0;22.024052284390628;1.895565482971498;0
GGG;2014B;631756;M;Yorkshire Region;Lower Than A Level;0;30;Y;5.0;True;False;False;0.0;0.0;0.0;0.0;70.30303030303031;1.3383838383838382;0
BBB;2014J;600387;F;North Region;A Level or Equivalent;0;60;N;47.115494568324756;True;False;False;0.0;0.8;0.0;0.0;107.74256480932263;2.5295312716797094;0
BBB;2013B;341235;M;South Region;Lower Than A Level;0;60;N;55.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
DDD;2013J;468927;M;Scotland;A Level or Equivalent;0;90;N;95.0;True;False;False;0.0;1.0;1.0;62.0;102.5451421176985;1.423499099063009;0
BBB;2013B;477734;F;East Anglian Region;No Formal quals;0;120;N;45.0;True;False;False;0.0;1.0;0.0;0.0;80.52824595815231;1.4224968907193971;0
FFF;2014J;607533;F;South West Region;Lower Than A Level;1;90;N;15.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
FFF;2014J;652788;M;South Region;Lower Than A Level;0;60;N;35.0;True;False;False;0.0;1.0;0.0;0.0;95.68956652463693;2.8269483039375585;0
DDD;2014B;2611371;M;West Midlands Region;Lower Than A Level;1;150;Y;25.0;True;False;False;0.0;0.6666666666666666;1.0;38.0;85.90809206560705;1.8717786403924217;0
FFF;2014J;2702660;F;London Region;Lower Than A Level;0;240;N;55.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
DDD;2013J;573646;M;North Western Region;A Level or Equivalent;0;120;N;25.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
BBB;2014B;478317;F;Scotland;Lower Than A Level;2;90;N;5.0;True;False;False;0.0;0.7272727272727273;0.0;0.0;117.90308183879613;2.4297464440321583;0
CCC;2014J;563321;M;South Region;HE Qualification;0;60;N;75.0;True;False;False;0.0;0.875;1.0;62.0;129.2558201058201;2.664021164021164;0
EEE;2013J;585433;M;Scotland;HE Qualification;0;60;N;85.0;True;False;False;0.0;1.0;0.0;0.0;91.82126867283272;3.001650790025914;0
DDD;2014J;601488;M;North Western Region;Lower Than A Level;1;60;N;25.0;True;False;False;0.0;1.0;1.0;64.0;70.77003157099007;2.167640936899286;0
FFF;2013B;541349;M;Ireland;Lower Than A Level;0;120;N;47.115494568324756;False;True;False;0.0;1.0;0.0;0.0;102.24687010908913;2.982291077624856;0
GGG;2013J;609535;F;West Midlands Region;A Level or Equivalent;0;30;N;5.0;False;True;False;0.0;0.1111111111111111;0.0;0.0;64.37083333333334;янв.75;0
GGG;2013J;606435;M;South West Region;Lower Than A Level;0;30;N;15.0;True;False;False;0.0;1.0;0.0;0.0;184.1971153846154;3.487980769230769;0
FFF;2014J;2256134;F;Scotland;HE Qualification;0;60;Y;25.0;True;False;False;0.0;0.0;0.0;0.0;0.0;0.0;1
AAA;2013J;155550;M;London Region;A Level or Equivalent;0;420;N;5.0;False;True;False;май.25;1.0;0.0;0.0;123.1598054183915;3.3840182532049914;0
BBB;2013B;379402;F;Ireland;A Level or Equivalent;1;105;N;85.0;True;False;False;0.0;0.2727272727272727;0.0;0.0;41.366547619047616;2.970595238095238;0
BBB;2014J;613135;M;South West Region;A Level or Equivalent;0;60;N;95.0;False;True;False;0.0;0.6;0.0;0.0;53.0623076923077;1.9184249084249083;0
GGG;2014B;604482;M;North Region;Lower Than A Level;1;60;N;15.0;False;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0
FFF;2014J;651972;F;Ireland;Lower Than A Level;0;60;N;65.0;False;True;False;0.0;0.08333333333333333;0.0;0.0;54.00481502669718;1.8978778467908903;0
